variable_id,dataset,variable,station_id,lat_degree,latitude,longitude,lat_idx,lon_idx
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,1,22,22.97917,-107.8125,228,184
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,2,22,22.6875,-106.89583,235,206
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,3,22,22.72917,-106.39583,234,218
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,4,23,23.97917,-109.27083,204,149
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,5,23,23.10417,-107.8125,225,184
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,6,23,23.02083,-106.60417,227,213
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,7,24,24.97917,-110.4375,180,121
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,8,24,24.39583,-108.89583,194,158
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,9,24,24.02083,-107.47917,203,192
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,10,25,25.85417,-111.1875,159,103
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,11,25,25.8125,-109.9375,160,133
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,12,25,25.02083,-108.27083,179,173
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,13,26,26.9375,-111.9375,133,85
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,14,26,26.27083,-110.52083,149,119
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,15,26,26.39583,-109.3125,146,148
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,16,27,27.97917,-112.6875,108,67
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,17,27,27.9375,-111.4375,109,97
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,18,27,27.02083,-110.02083,131,131
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,19,28,28.97917,-113.4375,84,49
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,20,28,28.14583,-112.35417,104,75
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,21,28,28.02083,-111.1875,107,103
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,22,29,29.97917,-114.10417,60,33
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,23,29,29.77083,-113.10417,65,57
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,24,29,29.27083,-112.27083,77,77
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,25,30,30.97917,-114.64583,36,20
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,26,30,30.97917,-113.6875,36,43
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,27,30,30.02083,-112.8125,59,64
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,28,31,31.47917,-114.77083,24,17
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,29,31,31.22917,-114.14583,30,32
ESA OC-CCI Chlorophyll::chlor_a,ESA OC-CCI Chlorophyll,chlor_a,30,31,31.02083,-113.14583,35,56
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,1,22,22.875,-107.625,3,31
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,2,22,22.625,-106.875,2,34
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,3,22,22.875,-106.625,3,35
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,4,23,23.875,-109.125,7,25
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,5,23,23.625,-107.875,6,30
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,6,23,23.125,-106.875,4,34
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,7,24,24.875,-110.125,11,21
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,8,24,24.625,-108.875,10,26
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,9,24,24.125,-107.625,8,31
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,10,25,25.875,-111.125,15,17
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,11,25,25.625,-109.875,14,22
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,12,25,25.125,-108.375,12,28
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,13,26,26.875,-111.875,19,14
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,14,26,26.875,-110.625,19,19
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,15,26,26.375,-109.375,17,24
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,16,27,27.875,-112.625,23,11
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,17,27,27.625,-111.375,22,16
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,18,27,27.125,-110.125,20,21
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,19,28,28.625,-113.125,26,9
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,20,28,28.375,-112.375,25,12
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,21,28,28.125,-111.375,24,16
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,22,29,29.625,-113.875,30,6
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,23,29,29.375,-113.125,29,9
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,24,29,29.375,-112.375,29,12
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,25,30,30.625,-114.375,34,4
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,26,30,30.625,-113.625,34,7
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,27,30,30.375,-112.875,33,10
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,28,31,31.375,-114.875,37,2
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,29,31,31.625,-114.375,38,4
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,30,31,31.125,-113.375,36,8
NOAA OISST v2.1::err,NOAA OISST v2.1,err,1,22,22.875,-107.625,3,31
NOAA OISST v2.1::err,NOAA OISST v2.1,err,2,22,22.625,-106.875,2,34
NOAA OISST v2.1::err,NOAA OISST v2.1,err,3,22,22.875,-106.625,3,35
NOAA OISST v2.1::err,NOAA OISST v2.1,err,4,23,23.875,-109.125,7,25
NOAA OISST v2.1::err,NOAA OISST v2.1,err,5,23,23.625,-107.875,6,30
NOAA OISST v2.1::err,NOAA OISST v2.1,err,6,23,23.125,-106.875,4,34
NOAA OISST v2.1::err,NOAA OISST v2.1,err,7,24,24.875,-110.125,11,21
NOAA OISST v2.1::err,NOAA OISST v2.1,err,8,24,24.625,-108.875,10,26
NOAA OISST v2.1::err,NOAA OISST v2.1,err,9,24,24.125,-107.625,8,31
NOAA OISST v2.1::err,NOAA OISST v2.1,err,10,25,25.875,-111.125,15,17
NOAA OISST v2.1::err,NOAA OISST v2.1,err,11,25,25.625,-109.875,14,22
NOAA OISST v2.1::err,NOAA OISST v2.1,err,12,25,25.125,-108.375,12,28
